cluster 0 (n=4688): cur ["','", "' the'", "'.'", "'\\n'", "' of'"] -> next ["','", "' the'", "'.'", "'\\n'", "' and'"]
cluster 1 (n=2269): cur ["'.'", "' the'", "','", "' of'", "' in'"] -> next ["' the'", "'.'", "','", "'�'", "' that'"]
cluster 2 (n=2987): cur ["' the'", "','", "'.'", "' to'", "' of'"] -> next ["' the'", "','", "'.'", "' and'", "' to'"]
cluster 3 (n=2653): cur ["' the'", "','", "' of'", "'.'", "' and'"] -> next ["' the'", "','", "' of'", "'.'", "' and'"]
cluster 4 (n=2286): cur ["'.'", "' the'", "','", "'\\n'", "' and'"] -> next ["'.'", "' the'", "'\\n'", "','", "'-'"]
cluster 5 (n=1517): cur ["','", "' the'", "'.'", "' of'", "' to'"] -> next ["','", "' the'", "' of'", "'.'", "' vaccine'"]
cluster 6 (n=5977): cur ["'.'", "','", "' the'", "'\\n'", "' to'"] -> next ["','", "'.'", "' the'", "'\\n'", "' to'"]
cluster 7 (n=1982): cur ["','", "'.'", "'\\n'", "' and'", "' to'"] -> next ["','", "'.'", "'\\n'", "'�'", "' she'"]
cluster 8 (n=1341): cur ["' the'", "'.'", "','", "' I'", "' and'"] -> next ["' the'", "'.'", "' I'", "','", "' and'"]
cluster 9 (n=15000): cur ["','", "'.'", "' the'", "' to'", "' a'"] -> next ["','", "'.'", "' of'", "' to'", "' the'"]
cluster 10 (n=2325): cur ["'.'", "','", "'\\n'", "' the'", "' a'"] -> next ["' the'", "'.'", "'\\n'", "','", "' a'"]
cluster 11 (n=6965): cur ["','", "'.'", "' the'", "' to'", "' and'"] -> next ["'.'", "' the'", "','", "' to'", "' a'"]
cluster 12 (n=2699): cur ["','", "' the'", "'.'", "' of'", "'\\n'"] -> next ["' the'", "','", "'.'", "' a'", "'\\n'"]
cluster 13 (n=2973): cur ["'.'", "','", "' the'", "'\\n'", "' and'"] -> next ["' the'", "'.'", "'\\n'", "','", "' and'"]
cluster 14 (n=1826): cur ["'.'", "','", "' the'", "' of'", "' and'"] -> next ["'.'", "','", "' the'", "' and'", "' of'"]
cluster 15 (n=9072): cur ["','", "'.'", "' the'", "' to'", "' of'"] -> next ["'.'", "','", "' the'", "' of'", "' to'"]
wrote /workspace/tensor_language/basis_aligned/bilinear_quotient/content_clusters_results.json
