evidence_id,family,result_file,result_sha256,candidates,sites,actions,per_example,document_splits,same_action_semantics,physical_suffix,dedicated_task,circuit_scope,heldout_circuits,sequential_actions,known_positive,known_negative,corpus,bundle_path,bundle_hash_valid,instrument_valid,note
eq_heads_subset,equality_attention_terms,equality_term_subset_factorial_stage1_results.json,8d5cdeb8c0beca3b80e343f0e63f74129ca472f708b2f9ef595a24049f919e68,4,"L5H5,L7H3,L8H3,L8H4",remove;restore;compose,False,2,True,True,True,equality_task_masks,False,False,False,False,natural,,,True,All 16 remove/extract subsets; JSON summaries only.
eq_heads_transplant_natural,equality_attention_terms,equality_term_score_payload_rung459_results.json,f157681ced170cbf8664db5710414a38d4f928f8d15dc0dd2b4d8cea9288aefa,4,L5H5->L8H4,substitute,False,2,True,True,True,equality_task_masks,False,False,True,True,natural,,,True,Known-positive score transplant and output/payload separation; aggregate receipt.
eq_heads_transplant_code,equality_attention_terms,equality_score_code_ood_rung460_results.json,3910e5a9acb462f2527c8d5f8b7d8039ede410f5a90e1853c7ac279b174cf4a1,4,L5H5->L8H4,substitute,False,2,True,True,True,equality_task_masks,False,False,True,True,code,,,True,Frozen cross-corpus score transplant; aggregate receipt.
eq_correction_interchange,equality_correction_sites,equality_score_correction_interchange_rung464_results.json,b5b48c4ac7b7fa035f0e2dd1cba82b64059dbe732e229acd006b43c3d0003b6b,5,"MLP8,MLP9,MLP12,A14,MLP17",substitute,False,2,False,True,True,equality_task_masks,False,False,False,False,code,,,True,Correction interchange is source-conditioned and not common across every site.
eq_correction_factorial,equality_correction_sites,equality_correction_group_factorial_rung466_results.json,d04acf3637834830f8ee7bd73eaa8a6c435386816ef54fce1d8451b0597132fe,5,"MLP8,MLP9,MLP12,A14,MLP17",remove;restore;compose,False,2,True,True,True,equality_task_masks,False,False,False,False,code,,,True,"All 32 subsets, but only sufficient statistics were retained."
eq_query_remove,equality_correction_sites,equality_query_position_intervention_rung472_results.json,21797e38820cc10387f534c21520feebd64470ca0ebc34147d3755c889699140,3,"MLP8,MLP9,MLP12",remove;compose,True,3,True,True,True,equality_task_masks,False,False,False,False,natural+code,/workspace/tensor_language/basis_aligned/bilinear_quotient/equality_query_position_intervention_rung472_per_token.pt,True,True,"Per-document query/nonquery/full effects, not the 62-circuit battery."
eq_query_factorial,equality_correction_sites,equality_query_subtractive_factorial_rung474_results.json,17235cf0131d356332738dd6551df4ee60219836fbedbfd01ca27e9750998fb7,3,"MLP8,MLP9,MLP12",remove;compose,True,3,True,True,True,equality_task_masks,False,False,False,False,natural+code,/workspace/tensor_language/basis_aligned/bilinear_quotient/equality_query_subtractive_factorial_rung474_per_token.pt,True,True,Seven per-document subset effects under the subtractive intervention.
mlp0_branch_circuits,mlp0_branches_block1,mlp0_branch_circuit_response_rung481_results.json,2af2e9d934d85223cb01cb731ad2bcbe54b8b90cbf21f6ba6753cc1347e84573,4,"MLP0:T,C,I,S",remove,False,2,True,True,False,32_discovery_circuits,False,False,False,False,natural,,,True,Finite branch-by-circuit summaries; conditional held-out circuits stayed closed.
mlp0_block1_carriers,mlp0_branches_block1,mlp0_coupled_block1_bigram_response_rung486_results.json,f36ed7bed41d5908fd5f1da977a6ec72c21414e91829dfdda6fe39cfaf3ec941,3,"MLP0-direct,attention1,MLP1",remove;compose,False,2,True,True,False,branch_effects,False,False,False,False,natural,,,True,"Exact D/A/M factorial for T/C/I, retained as aggregate response profiles."
mlp0_midpoint_interchange,mlp0_branches_block1,mlp1_finite_secant_factor_interchange_rung488_results.json,ed0ce441fc6629275edf7ded6eb8b26b70d1b80fa0157fa46872c8292b038ebb,3,MLP1 finite secant,substitute,False,4,True,True,False,branch_effects,False,False,False,False,natural,,,True,"Held-out factor interchange, later bounded by the common-native-state control."
